idrbd,nom_rbd,cod_reg_rbd,cod_pro_rbd,cod_com_rbd,nom_com_rbd,cod_deprov_rbd,nom_deprov_rbd,rural_rbd,efectivr,superar,iniciar,mejorar,integrar,igualdr,cluster,indicer,sel2016_25,sel2016_35,sel
1502,INST.SUP.COMERCIO FCO.ARAYA BENNET,5,51,5101,VALPARAISO,53,VALPARAISO,1,50.342222,24.75867,89.18181800000001,62.962963,87.5,70.86711699999999,533,52.134984,2,2,3
1503,ESCUELA INDUSTRIAL SUPERIOR DE VALPARAISO,5,51,5101,VALPARAISO,53,VALPARAISO,1,64.27336800000001,51.323182,75.227273,92.59259299999999,61.833333,96.442328,533,68.826104,1,2,1
1504,LICEO TÃCNICO DE VALPARAÃSO,5,51,5101,VALPARAISO,53,VALPARAISO,1,43.190433,40.460909,0,81.481481,0,94.515259,533,49.732501,2,2,3
1506,CENTRO EDUCATIVO FLORIDA,5,51,5101,VALPARAISO,53,VALPARAISO,1,40.505017,49.822205,89.95,74.074074,71.25,91.68208199999999,513,59.548113,2,2,3
1507,ESCUELA ESPECIAL DE ADULTOS,5,51,5101,VALPARAISO,53,VALPARAISO,1,54.990372,46.723495,0,81.481481,0,75.29113099999999,533,51.622695,2,2,3
1508,ESC. ESPEC. DE DEF. MENTAL GRAN BRETA_A,5,51,5101,VALPARAISO,53,VALPARAISO,1,,,77.6875,74.074074,96.25,98.09200300000001,551,92.95849200000001,2,2,3
1509,ESC. ESPEC. DE DEF. MENTAL LUZ DE ESPERANZA,5,51,5101,VALPARAISO,53,VALPARAISO,1,,,100,74.074074,92.5,98.09200300000001,551,96.247777,1,2,1
1510,ESCUELA ESPECIAL DE LENGUAJE LIBERTADOR DE LA PATRIA BERNARDO O`HIGGINS,5,51,5101,VALPARAISO,53,VALPARAISO,1,,,71.1875,55.555556,69.375,96.549357,551,85.97705600000001,2,2,3
1511,CENTRO EDUCATIVO REINO DE SUECIA,5,51,5101,VALPARAISO,53,VALPARAISO,1,41.533757,45.34253,0,74.074074,0,90.604167,513,49.477797,2,2,3
1514,ESCUELA HERNAN OLGUIN,5,51,5101,VALPARAISO,53,VALPARAISO,1,53.687045,42.90358,100,81.481481,98.333333,96.042378,512,65.552829,2,2,3
1515,LICEO EDUARDO DE LA BARRA,5,51,5101,VALPARAISO,53,VALPARAISO,1,59.600957,40.313593,96.8,18.518519,68.75,95.124337,532,63.883385,2,2,3
1516,LICEO TECNOLÃGICO ALFREDO NAZAR FERES,5,51,5101,VALPARAISO,53,VALPARAISO,1,47.100982,39.372365,91.136364,81.481481,82.333333,92.978894,533,60.12146,2,2,3
1517,LICEO MATILDE BRANDAU DE ROSS,5,51,5101,VALPARAISO,53,VALPARAISO,1,48.345873,45.788956,92.481818,73.84960700000001,80.416667,93.48959600000001,533,62.323326,2,2,3
1518,LICEO MARIA LUISA BOMBAL,5,51,5101,VALPARAISO,53,VALPARAISO,1,46.504517,48.864156,0,74.074074,0,92.055187,533,52.622258,2,2,3
1519,LICEO TECNICO PROFESIONAL BARON,5,51,5101,VALPARAISO,53,VALPARAISO,1,39.584541,37.586899,91.909091,81.481481,60.5,94.75947100000001,533,56.186871,2,2,3
1520,LICEO VALPARAISO,5,51,5101,VALPARAISO,53,VALPARAISO,1,87.24696900000001,49.009915,76.84999999999999,74.074074,49.916667,96.03639,532,75.72047499999999,1,2,1
1521,LICEO DE NINAS MARIA FRANCK DE MACDOUGAL,5,51,5101,VALPARAISO,53,VALPARAISO,1,52.581148,45.561832,77.945455,74.074074,62.333333,93.86282300000001,533,62.137034,2,2,3
1522,COLEGIO PEDRO MONTT,5,51,5101,VALPARAISO,53,VALPARAISO,1,42.936959,52.269327,61.22,74.074074,32.333333,93.128957,533,57.781805,2,2,3
1523,ESCUELA NACIONES UNIDAS,5,51,5101,VALPARAISO,53,VALPARAISO,1,52.239949,52.117279,0,74.074074,0,94.187866,513,56.124431,2,2,3
1524,ESCUELA REPUBLICA ARABE SIRIA,5,51,5101,VALPARAISO,53,VALPARAISO,1,42.967095,50.609832,0,74.074074,0,94.65911,513,52.375064,2,2,3
1525,INSTITUTO TECN.PROF.MARITIMO DE VALPSO,5,51,5101,VALPARAISO,53,VALPARAISO,1,59.062902,47.337485,100,81.481481,92,97.571721,533,68.803178,1,2,1
1526,ESCUELA REPUBLICA DEL PARAGUAY,5,51,5101,VALPARAISO,53,VALPARAISO,1,47.89917,49.121789,0,74.074074,0,94.188812,513,53.679814,2,2,3
1528,ESCUELA GASPAR CABRALES,5,51,5101,VALPARAISO,53,VALPARAISO,1,46.401864,56.677016,0,74.074074,0,93.696125,513,55.132883,2,2,3
1529,ESCUELA GRECIA,5,51,5101,VALPARAISO,53,VALPARAISO,1,49.007648,46.826815,96.75,81.481481,95.916667,96.617521,513,64.730656,2,2,3
1533,ESCUELA ALEMANIA,5,51,5101,VALPARAISO,53,VALPARAISO,1,50.234251,53.551638,0,74.074074,0,95.633493,512,56.101981,2,2,3
1534,ESCUELA REPUBLICA DEL URUGUAY,5,51,5101,VALPARAISO,53,VALPARAISO,1,50.190922,47.667544,85.93000000000001,74.074074,78,95.378609,513,63.438129,2,2,3
1536,ESCUELA AMERICA,5,51,5101,VALPARAISO,53,VALPARAISO,1,54.480057,45.273151,92.40000000000001,73.93689999999999,72.833333,97.02275299999999,513,64.843514,2,2,3
1537,ESCUELA RAMON BARROS LUCO,5,51,5101,VALPARAISO,53,VALPARAISO,1,62.895097,51.690275,83.03,74.074074,79.333333,95.38537,512,69.159192,1,2,1
1538,ESCUELA JUAN JOSE LATORRE B,5,51,5101,VALPARAISO,53,VALPARAISO,1,57.062228,54.178685,0,74.074074,0,95.763744,513,58.832561,2,2,3
1540,ESCUELA BLAS CUEVAS RAMON ALLENDE,5,51,5101,VALPARAISO,53,VALPARAISO,1,50.574752,51.227007,90.13,74.074074,61.416667,94.011837,513,63.698939,2,2,3
1541,ESCUELA REPUBLICA DE EL SALVADOR,5,51,5101,VALPARAISO,53,VALPARAISO,1,50.280494,56.835945,84.62000000000001,74.074074,90.166667,95.908238,513,66.684675,2,1,2
1542,ESCUELA JOAQUIN EDWARDS BELLO,5,51,5101,VALPARAISO,53,VALPARAISO,1,52.304299,52.564052,93.65000000000001,74.074074,50.916667,95.841762,533,64.802027,2,2,3
1543,ESCUELA JORGE ALESSANDRI RODRIGUEZ,5,51,5101,VALPARAISO,53,VALPARAISO,1,59.936769,51.240481,97.88,81.481481,93.75,94.105637,513,69.417109,1,2,1
1547,ESCUELA CARABINERO PEDRO A.CARIAGA M.,5,51,5101,VALPARAISO,53,VALPARAISO,1,57.393722,46.562186,91.34999999999999,74.074074,54.916667,95.866647,512,65.07206600000001,2,2,3
1548,ESCUELA DIEGO PORTALES PALAZUELOS,5,51,5101,VALPARAISO,53,VALPARAISO,1,51.130252,48.297258,77.74,81.481481,42.583333,92.626041,513,61.242351,2,2,3
1549,ESCUELA REPUBLICA DE MEXICO,5,51,5101,VALPARAISO,53,VALPARAISO,1,45.872421,49.662839,0,55.555556,0,94.592439,533,52.799838,2,2,3
1550,ESCUELA PACIFICO,5,51,5101,VALPARAISO,53,VALPARAISO,1,48.011572,44.607307,0,74.074074,0,95.970473,513,52.849313,2,2,3
1551,ESCUELA MONTEDONICO,5,51,5101,VALPARAISO,53,VALPARAISO,1,50.406366,50.230725,93.55,74.074074,75.416667,95.472228,513,64.584163,2,2,3
1553,ESCUELA ESPANA,5,51,5101,VALPARAISO,53,VALPARAISO,1,51.062622,44.922796,0,81.481481,0,96.03095,512,54.227992,2,2,3
1554,COLEGIO PABLO NERUDA,5,51,5101,VALPARAISO,53,VALPARAISO,1,54.924276,43.378367,100,74.074074,93.833333,95.99363099999999,512,65.759672,2,2,3
1555,ESCUELA REPUBLICA DE ISRAEL,5,51,5101,VALPARAISO,53,VALPARAISO,1,56.704266,57.720936,96.18000000000001,74.074074,77.916667,95.551866,513,69.311966,1,2,1
1556,ESCUELA ELEUTERIO RAMIREZ,5,51,5101,VALPARAISO,53,VALPARAISO,1,48.926239,58.08958,0,74.074074,0,95.84473,513,56.935113,2,2,3
