Código Establecimiento,Nombre Establecimiento,Dependencia Establecimiento,Nombre Región,Nombre Comuna,Área Geográfica,Niños con Desnutrición,Prevalencia Desnutrición Niños,Niñas con Desnutrición,Prevalencia Desnutrición Niñas,Niños con Bajo Peso,Prevalencia Bajo Peso Niños,Niñas con Bajo Peso,Prevalencia Bajo Peso Niñas,Niños con Peso Normal,Prevalencia Peso Normal Niños,Niñas con Peso Normal,Prevalencia Peso Normal Niñas,Niños con Sobrepeso,Prevalencia Sobrepeso Niños,Niñas con Sobrepeso,Prevalencia Sobrepeso Niñas,Niños con Obesidad,Prevalencia Obesidad Niños,Niñas con Obesidad,Prevalencia Obesidad Niñas,Niños con Retraso en talla,Prevalencia Retraso en talla Niños,Niñas con Retraso en talla,Prevalencia Retraso en talla Niñas,Total Niños,Total Niñas
2044,ESCUELA INDUSTRIAL SAN ANTONIO,Subvencionado,Región de Valparaíso,San Antonio,URBANO,0,"0,0",2,"5,9",9,"5,4",1,"2,9",81,"48,2",12,"35,3",42,"25,0",7,"20,6",36,"21,4",12,"35,3",6,"3,6",1,"2,9",168,34
2045,LICEO GABRIELA MISTRAL,Subvencionado,Región de Valparaíso,San Antonio,URBANO,0,"0,0",0,"0,0",0,"0,0",1,"3,7",9,"60,0",11,"40,7",6,"40,0",12,"44,4",0,"0,0",3,"11,1",0,"0,0",0,"0,0",15,27
2047,COLEGIO PARTICULAR SARA CRUCHAGA,Subvencionado,Región de Valparaíso,San Antonio,URBANO,0,"0,0",0,"0,0",0,"0,0",0,"0,0",0,"0,0",21,"60,0",0,"0,0",11,"31,4",0,"0,0",3,"8,6",0,"0,0",1,"2,9",0,35
2048,COLEGIO SAGRADA FAMILIA,Subvencionado,Región de Valparaíso,San Antonio,URBANO,0,"0,0",1,"5,0",0,"0,0",0,"0,0",0,"0,0",2,"10,0",0,"0,0",6,"30,0",0,"0,0",11,"55,0",0,"0,0",0,"0,0",0,20
2049,COLEGIO FUND.EDUC. FERNANDEZ LEON,Subvencionado,Región de Valparaíso,San Antonio,URBANO,0,"0,0",1,"4,5",2,"8,3",1,"4,5",14,"58,3",7,"31,8",4,"16,7",8,"36,4",4,"16,7",5,"22,7",3,"12,5",0,"0,0",24,22
2050,COLEGIO NUESTRA SENORA DE POMPEYA,Subvencionado,Región de Valparaíso,San Antonio,URBANO,0,"0,0",0,"0,0",1,"6,3",0,"0,0",7,"43,8",7,"38,9",5,"31,3",6,"33,3",3,"18,8",5,"27,8",0,"0,0",0,"0,0",16,18
2052,COLEGIO PROVIDENCIA,Subvencionado,Región de Valparaíso,San Antonio,URBANO,0,"0,0",0,"0,0",2,"20,0",1,"4,8",6,"60,0",9,"42,9",0,"0,0",9,"42,9",2,"20,0",2,"9,5",1,"10,0",0,"0,0",10,21
2055,COLEGIO EL RETIRO,Subvencionado,Región de Valparaíso,San Antonio,URBANO,1,"4,5",0,"0,0",2,"9,1",1,"4,5",6,"27,3",8,"36,4",10,"45,5",10,"45,5",3,"13,6",3,"13,6",2,"9,1",1,"4,5",22,22
2057,ESCUELA PARTICULAR N. 33 MARIA KONIG,Subvencionado,Región de Valparaíso,San Antonio,URBANO,1,"11,1",0,"0,0",0,"0,0",0,"0,0",4,"44,4",2,"33,3",2,"22,2",2,"33,3",2,"22,2",2,"33,3",0,"0,0",0,"0,0",9,6
14288,COLEGIO NUEVA PROVIDENCIA,Subvencionado,Región de Valparaíso,San Antonio,URBANO,0,"0,0",0,"0,0",0,"0,0",0,"0,0",13,"65,0",8,"36,4",3,"15,0",12,"54,5",4,"20,0",2,"9,1",0,"0,0",0,"0,0",20,22
14348,COLEGIO ESPIRITU SANTO,Subvencionado,Región de Valparaíso,San Antonio,URBANO,0,"0,0",0,"0,0",2,"5,3",1,"2,5",20,"52,6",17,"42,5",7,"18,4",15,"37,5",9,"23,7",7,"17,5",0,"0,0",0,"0,0",38,40
14373,COLEGIO JOSE LUIS NORRIS,Subvencionado,Región de Valparaíso,San Antonio,URBANO,0,"0,0",0,"0,0",1,"5,0",0,"0,0",8,"40,0",11,"57,9",9,"45,0",6,"31,6",2,"10,0",2,"10,5",1,"5,0",0,"0,0",20,19
14568,COLEGIO CRISTO REY SALVADOR,Subvencionado,Región de Valparaíso,San Antonio,URBANO,1,"5,9",0,"0,0",0,"0,0",2,"11,1",8,"47,1",7,"38,9",5,"29,4",5,"27,8",3,"17,6",4,"22,2",0,"0,0",0,"0,0",17,18
14626,COLEGIO ARAUCARIAS,Subvencionado,Región de Valparaíso,San Antonio,URBANO,0,"0,0",1,"11,1",2,"12,5",0,"0,0",4,"25,0",1,"11,1",5,"31,3",5,"55,6",5,"31,3",2,"22,2",0,"0,0",1,"11,1",16,9
14699,COLEGIO FENIX,Subvencionado,Región de Valparaíso,San Antonio,URBANO,1,"4,8",1,"5,0",4,"19,0",0,"0,0",6,"28,6",10,"50,0",5,"23,8",7,"35,0",5,"23,8",2,"10,0",1,"4,8",0,"0,0",21,20
14788,COLEGIO PAPA JUAN PABLO II,Subvencionado,Región de Valparaíso,San Antonio,URBANO,0,"0,0",0,"0,0",1,"5,6",1,"7,7",8,"44,4",5,"38,5",2,"11,1",6,"46,2",7,"38,9",1,"7,7",1,"5,6",0,"0,0",18,13
40289,INSTITUTO BICENTENARIO J.MIGUEL CARRERA,Municipal,Región de Valparaíso,San Antonio,URBANO,0,"0,0",0,"0,0",1,"2,9",2,"5,7",21,"60,0",26,"74,3",11,"31,4",4,"11,4",2,"5,7",3,"8,6",1,"2,9",0,"0,0",35,35
2090,COLEGIO TERESA DE LOS ANDES-ALGARROBO,Subvencionado,Región de Valparaíso,Algarrobo,URBANO,1,"4,0",0,"0,0",7,"28,0",1,"4,8",12,"48,0",12,"57,1",4,"16,0",3,"14,3",1,"4,0",5,"23,8",1,"4,0",0,"0,0",25,21
14400,LICEO TÉCNICO CARLOS ALESSANDRI ALTAMIRANO,Municipal,Región de Valparaíso,Algarrobo,URBANO,0,"0,0",0,"0,0",0,"0,0",0,"0,0",21,"44,7",13,"28,9",19,"40,4",21,"46,7",7,"14,9",11,"24,4",0,"0,0",1,"2,2",47,45
40370,COLEGIO PUKALAN DE ALGARROBO,Subvencionado,Región de Valparaíso,Algarrobo,URBANO,0,"0,0",1,"6,7",0,"0,0",1,"6,7",9,"45,0",10,"66,7",3,"15,0",2,"13,3",8,"40,0",1,"6,7",0,"0,0",0,"0,0",20,15
2064,LICEO POETA VICENTE HUIDOBRO,Municipal,Región de Valparaíso,Cartagena,URBANO,0,"0,0",0,"0,0",3,"4,3",1,"1,4",31,"44,9",30,"41,1",22,"31,9",32,"43,8",13,"18,8",10,"13,7",1,"1,4",2,"2,7",69,73
2066,LICEO EUGENIA SUBERCASEAUX,Municipal,Región de Valparaíso,Cartagena,URBANO,1,"5,9",1,"8,3",1,"5,9",0,"0,0",6,"35,3",4,"33,3",7,"41,2",5,"41,7",2,"11,8",2,"16,7",0,"0,0",0,"0,0",17,12
14523,LIONS SCHOOL,Subvencionado,Región de Valparaíso,Cartagena,URBANO,0,"0,0",0,"0,0",6,"13,6",3,"6,4",25,"56,8",22,"46,8",9,"20,5",16,"34,0",4,"9,1",6,"12,8",2,"4,5",4,"8,5",44,47
14825,NUEVO COLEGIO PART. DE CARTAGENA,Subvencionado,Región de Valparaíso,Cartagena,URBANO,1,"6,7",0,"0,0",0,"0,0",1,"4,8",2,"13,3",6,"28,6",8,"53,3",7,"33,3",4,"26,7",7,"33,3",0,"0,0",4,"19,0",15,21
14953,COLEGIO PEUMAYÉN,Subvencionado,Región de Valparaíso,Cartagena,URBANO,0,"0,0",0,"0,0",4,"23,5",0,"0,0",4,"23,5",8,"61,5",4,"23,5",2,"15,4",5,"29,4",3,"23,1",0,"0,0",0,"0,0",17,13
2078,LICEO  CLARA SOLOVERA,Municipal,Región de Valparaíso,El Quisco,URBANO,0,"0,0",0,"0,0",1,"2,9",1,"3,8",15,"44,1",13,"50,0",12,"35,3",11,"42,3",6,"17,6",1,"3,8",0,"0,0",3,"11,5",34,26
14420,COLEGIO EL ALBA,Subvencionado,Región de Valparaíso,El Quisco,URBANO,0,"0,0",0,"0,0",0,"0,0",0,"0,0",6,"50,0",8,"72,7",6,"50,0",2,"18,2",0,"0,0",1,"9,1",0,"0,0",0,"0,0",12,11
2075,COLEGIO EL TABO,Municipal,Región de Valparaíso,El Tabo,URBANO,1,"2,4",0,"0,0",3,"7,1",1,"4,8",19,"45,2",9,"42,9",13,"31,0",9,"42,9",6,"14,3",2,"9,5",1,"2,4",0,"0,0",42,21
2091,COLEGIO PEOPLE HELP PEOPLE,Municipal,Región de Valparaíso,Santo Domingo,URBANO,1,"2,1",0,"0,0",3,"6,3",0,"0,0",21,"43,8",9,"25,7",11,"22,9",23,"65,7",12,"25,0",3,"8,6",2,"4,2",0,"0,0",48,35
2099,COLEGIO STO. DOMINGO HELEN LEE LASSEN,Subvencionado,Región de Valparaíso,Santo Domingo,URBANO,0,"0,0",0,"0,0",2,"12,5",2,"8,7",7,"43,8",11,"47,8",4,"25,0",6,"26,1",3,"18,8",4,"17,4",2,"12,5",1,"4,3",16,23
13205,SANTO DOMINGO COUNTRY SCHOOL,Subvencionado,Región de Valparaíso,Santo Domingo,URBANO,1,"10,0",0,"0,0",2,"20,0",2,"14,3",3,"30,0",6,"42,9",4,"40,0",4,"28,6",0,"0,0",2,"14,3",0,"0,0",0,"0,0",10,14
14751,COLEGIO EL ROBLE DE SANTO DOMINGO,Subvencionado,Región de Valparaíso,Santo Domingo,URBANO,1,"9,1",0,"0,0",1,"9,1",1,"7,7",3,"27,3",7,"53,8",2,"18,2",4,"30,8",4,"36,4",1,"7,7",1,"9,1",0,"0,0",11,13
1261,LICEO DOCTOR ROBERTO HUMERES O.,Municipal,Región de Valparaíso,San Felipe,URBANO,0,"0,0",0,"0,0",5,"12,2",1,"3,3",14,"34,1",11,"36,7",11,"26,8",9,"30,0",11,"26,8",9,"30,0",2,"4,9",2,"6,7",41,30
1262,ESCUELA INDUSTRIAL GUILLERMO RICHARDS CUEVAS,Subvencionado,Región de Valparaíso,San Felipe,URBANO,1,"0,4",0,"0,0",29,"10,7",0,"0,0",124,"45,6",13,"50,0",59,"21,7",8,"30,8",59,"21,7",5,"19,2",7,"2,6",0,"0,0",272,26
1263,LICEO DE NINAS CORINA URBINA,Municipal,Región de Valparaíso,San Felipe,URBANO,0,"0,0",0,"0,0",0,"0,0",1,"1,3",0,"0,0",31,"38,8",0,"0,0",28,"35,0",0,"0,0",20,"25,0",0,"0,0",6,"7,5",0,80
1264,LICEO SAN FELIPE,Municipal,Región de Valparaíso,San Felipe,URBANO,1,"9,1",0,"0,0",1,"9,1",1,"8,3",5,"45,5",5,"41,7",3,"27,3",3,"25,0",1,"9,1",3,"25,0",1,"9,1",1,"8,3",11,12
1289,COLEGIO ASSUNTA PALLOTA,Subvencionado,Región de Valparaíso,San Felipe,URBANO,0,"0,0",0,"0,0",1,"4,2",0,"0,0",12,"50,0",3,"21,4",6,"25,0",8,"57,1",5,"20,8",3,"21,4",1,"4,2",0,"0,0",24,14
1290,COLEGIO SANTA JUANA DE ARCO,Subvencionado,Región de Valparaíso,San Felipe,URBANO,0,"0,0",0,"0,0",0,"0,0",4,"8,2",0,"0,0",24,"49,0",0,"0,0",16,"32,7",0,"0,0",5,"10,2",0,"0,0",4,"8,2",0,49
1291,COLEGIO JOSE AGUSTIN GOMEZ,Subvencionado,Región de Valparaíso,San Felipe,URBANO,1,"6,3",0,"0,0",1,"6,3",3,"15,8",9,"56,3",6,"31,6",4,"25,0",7,"36,8",1,"6,3",3,"15,8",1,"6,3",0,"0,0",16,19
1294,COLEGIO PARTICULAR PUMANQUE,Subvencionado,Región de Valparaíso,San Felipe,URBANO,0,"0,0",0,"0,0",0,"0,0",2,"4,5",16,"51,6",27,"61,4",7,"22,6",13,"29,5",8,"25,8",2,"4,5",1,"3,2",1,"2,3",31,44
1300,ESCUELA AGRICOLA DE SAN FELIPE,Subvencionado,Región de Valparaíso,San Felipe,URBANO,0,"0,0",0,"0,0",3,"4,4",2,"2,4",38,"55,9",54,"63,5",17,"25,0",22,"25,9",10,"14,7",7,"8,2",2,"2,9",0,"0,0",68,85
11214,COL.ALONSO DE ERCILLA PRAT,Subvencionado,Región de Valparaíso,San Felipe,URBANO,0,"0,0",0,"0,0",2,"6,9",0,"0,0",17,"58,6",29,"60,4",4,"13,8",12,"25,0",6,"20,7",7,"14,6",0,"0,0",1,"2,1",29,48
12309,COLEGIO PIRAMIDE,Subvencionado,Región de Valparaíso,San Felipe,URBANO,0,"0,0",0,"0,0",2,"8,0",1,"6,3",9,"36,0",10,"62,5",10,"40,0",5,"31,3",4,"16,0",0,"0,0",0,"0,0",0,"0,0",25,16
14614,COLEGIO VEDRUNA,Subvencionado,Región de Valparaíso,San Felipe,URBANO,0,"0,0",0,"0,0",0,"0,0",2,"6,9",8,"30,8",13,"44,8",13,"50,0",13,"44,8",5,"19,2",1,"3,4",0,"0,0",1,"3,4",26,29
14697,LICEO BICENTENARIO CORDILLERA DE SAN FELIPE,Municipal,Región de Valparaíso,San Felipe,URBANO,0,"0,0",0,"0,0",2,"5,9",0,"0,0",16,"47,1",23,"44,2",8,"23,5",19,"36,5",8,"23,5",10,"19,2",1,"2,9",1,"1,9",34,52
14707,COLEGIO PORTALIANO,Subvencionado,Región de Valparaíso,San Felipe,URBANO,0,"0,0",1,"4,2",2,"5,9",0,"0,0",24,"70,6",16,"66,7",3,"8,8",5,"20,8",5,"14,7",2,"8,3",0,"0,0",2,"8,3",34,24
14750,COLEGIO GREENLAND SAN FELIPE,Subvencionado,Región de Valparaíso,San Felipe,URBANO,0,"0,0",0,"0,0",2,"14,3",0,"0,0",7,"50,0",9,"75,0",2,"14,3",2,"16,7",3,"21,4",1,"8,3",0,"0,0",1,"8,3",14,12
14856,SUNNYLAND SCHOOL,Subvencionado,Región de Valparaíso,San Felipe,URBANO,0,"0,0",0,"0,0",3,"7,1",2,"4,9",20,"47,6",27,"65,9",14,"33,3",11,"26,8",5,"11,9",1,"2,4",2,"4,8",0,"0,0",42,41
14879,"LICEO PART, MIXTO SAN FELIPE",Subvencionado,Región de Valparaíso,San Felipe,URBANO,1,"1,1",0,"0,0",12,"13,0",1,"1,2",40,"43,5",40,"48,8",27,"29,3",29,"35,4",12,"13,0",12,"14,6",5,"5,4",2,"2,4",92,82
1354,LICEO CHAGRES,Municipal,Región de Valparaíso,Catemu,URBANO,3,"3,9",2,"3,8",2,"2,6",3,"5,8",41,"53,9",26,"50,0",20,"26,3",13,"25,0",10,"13,2",8,"15,4",1,"1,3",1,"1,9",76,52
1361,COLEGIO PARTICULAR CALIFORNIA,Subvencionado,Región de Valparaíso,Catemu,URBANO,0,"0,0",2,"11,1",2,"13,3",1,"5,6",7,"46,7",10,"55,6",3,"20,0",5,"27,8",3,"20,0",0,"0,0",0,"0,0",0,"0,0",15,18
1362,ESCUELA AGRICOLA SALESIANA F. HUIDOBRO,Subvencionado,Región de Valparaíso,Catemu,URBANO,1,"2,3",1,"3,7",2,"4,7",2,"7,4",20,"46,5",10,"37,0",13,"30,2",10,"37,0",7,"16,3",4,"14,8",0,"0,0",2,"7,4",43,27
1335,LICEO POLITECNICO LLAY LLAY,Municipal,Región de Valparaíso,Llaillay,URBANO,1,"1,2",0,"0,0",8,"9,8",3,"4,1",36,"43,9",38,"51,4",27,"32,9",22,"29,7",10,"12,2",11,"14,9",1,"1,2",2,"2,7",82,74
1347,LICEO MENESIANO SAGRADO CORAZON,Subvencionado,Región de Valparaíso,Llaillay,URBANO,0,"0,0",0,"0,0",2,"3,8",0,"0,0",27,"51,9",30,"57,7",15,"28,8",15,"28,8",8,"15,4",7,"13,5",6,"11,5",5,"9,6",52,52
14565,VERDOYHAM SCHOOL,Subvencionado,Región de Valparaíso,Llaillay,URBANO,0,"0,0",0,"0,0",1,"7,7",1,"4,3",6,"46,2",7,"30,4",3,"23,1",11,"47,8",3,"23,1",4,"17,4",0,"0,0",1,"4,3",13,23
14885,COLEGIO LEONARDO DA VINCI,Subvencionado,Región de Valparaíso,Llaillay,URBANO,0,"0,0",0,"0,0",0,"0,0",0,"0,0",8,"80,0",5,"62,5",1,"10,0",3,"37,5",1,"10,0",0,"0,0",1,"10,0",0,"0,0",10,8
14202,COLEGIO PANQUEHUE,Municipal,Región de Valparaíso,Panquehue,URBANO,0,"0,0",0,"0,0",5,"15,6",1,"4,5",14,"43,8",11,"50,0",7,"21,9",7,"31,8",6,"18,8",3,"13,6",0,"0,0",1,"4,5",32,22
1301,LICEO MANUEL MARIN,Municipal,Región de Valparaíso,Putaendo,URBANO,0,"0,0",0,"0,0",1,"5,0",2,"6,9",12,"60,0",10,"34,5",4,"20,0",9,"31,0",3,"15,0",8,"27,6",3,"15,0",0,"0,0",20,29
1302,LICEO   REPUBLICA DE ESTADOS UNIDOS,Municipal,Región de Valparaíso,Putaendo,URBANO,0,"0,0",0,"0,0",1,"11,1",0,"0,0",4,"44,4",3,"60,0",3,"33,3",2,"40,0",1,"11,1",0,"0,0",0,"0,0",0,"0,0",9,5
14819,COLEGIO CERVANTINO,Subvencionado,Región de Valparaíso,Putaendo,URBANO,0,"0,0",0,"0,0",1,"10,0",0,"0,0",3,"30,0",5,"38,5",5,"50,0",7,"53,8",1,"10,0",1,"7,7",0,"0,0",1,"7,7",10,13
1318,LICEO DARIO SALAS,Municipal,Región de Valparaíso,Santa María,URBANO,0,"0,0",0,"0,0",0,"0,0",0,"0,0",10,"58,8",8,"61,5",3,"17,6",2,"15,4",4,"23,5",3,"23,1",0,"0,0",0,"0,0",17,13
1327,COLEGIO SANTA MARIA DE ACONCAGUA,Subvencionado,Región de Valparaíso,Santa María,URBANO,1,"6,3",0,"0,0",4,"25,0",2,"5,4",4,"25,0",14,"37,8",3,"18,8",13,"35,1",4,"25,0",8,"21,6",2,"12,5",1,"2,7",16,37
14820,COLEGIO SANTA MARIA COLLEGE,Subvencionado,Región de Valparaíso,Santa María,URBANO,0,"0,0",0,"0,0",0,"0,0",0,"0,0",10,"62,5",6,"60,0",4,"25,0",2,"20,0",2,"12,5",2,"20,0",3,"18,8",0,"0,0",16,10
1757,COLEGIO ACONCAGUA,Subvencionado,Región de Valparaíso,Quilpué,URBANO,1,"1,0",1,"0,8",14,"13,5",7,"5,8",48,"46,2",58,"47,9",34,"32,7",42,"34,7",7,"6,7",13,"10,7",3,"2,9",2,"1,7",104,121
1880,COLEGIO ANDRES BELLO LOPEZ,Municipal,Región de Valparaíso,Quilpué,URBANO,0,"0,0",0,"0,0",0,"0,0",1,"7,7",12,"34,3",6,"46,2",18,"51,4",6,"46,2",5,"14,3",0,"0,0",0,"0,0",1,"7,7",35,13
1882,LICEO GUILLERMO GRONEMEYER ZAMORANO,Municipal,Región de Valparaíso,Quilpué,URBANO,0,"0,0",0,"0,0",3,"6,1",4,"7,4",23,"46,9",30,"55,6",15,"30,6",11,"20,4",8,"16,3",9,"16,7",2,"4,1",3,"5,6",49,54
1884,LICEO COMERCIAL ALEJANDRO LUBET V,Municipal,Región de Valparaíso,Quilpué,URBANO,3,"4,2",0,"0,0",5,"7,0",5,"6,1",36,"50,7",45,"54,9",18,"25,4",23,"28,0",9,"12,7",9,"11,0",3,"4,2",3,"3,7",71,82
1887,ESCUELA GUARDIAMARINA GUILLERMO ZANARTU I.,Municipal,Región de Valparaíso,Quilpué,URBANO,0,"0,0",0,"0,0",2,"5,7",0,"0,0",22,"62,9",18,"52,9",7,"20,0",12,"35,3",4,"11,4",4,"11,8",1,"2,9",0,"0,0",35,34
1895,LICEO TECNICO PROFESIONAL MANNHEIM,Municipal,Región de Valparaíso,Quilpué,URBANO,0,"0,0",0,"0,0",2,"5,0",0,"0,0",8,"20,0",1,"8,3",17,"42,5",7,"58,3",13,"32,5",4,"33,3",5,"12,5",0,"0,0",40,12
1908,LICEO DE NINAS JAVIERA CARRERA,Subvencionado,Región de Valparaíso,Quilpué,URBANO,0,"0,0",1,"5,6",1,"6,3",2,"11,1",9,"56,3",8,"44,4",3,"18,8",4,"22,2",3,"18,8",3,"16,7",0,"0,0",1,"5,6",16,18
1909,COLEGIO LIAHONA,Subvencionado,Región de Valparaíso,Quilpué,URBANO,1,"1,7",0,"0,0",5,"8,5",4,"7,7",31,"52,5",27,"51,9",16,"27,1",18,"34,6",6,"10,2",3,"5,8",1,"1,7",0,"0,0",59,52
1911,COLEGIO CREP,Subvencionado,Región de Valparaíso,Quilpué,URBANO,0,"0,0",1,"5,9",3,"16,7",0,"0,0",9,"50,0",9,"52,9",2,"11,1",5,"29,4",4,"22,2",2,"11,8",0,"0,0",0,"0,0",18,17
1918,COLEGIO LOS LEONES DE QUILPUE,Subvencionado,Región de Valparaíso,Quilpué,URBANO,1,"4,0",0,"0,0",2,"8,0",1,"3,3",10,"40,0",18,"60,0",8,"32,0",10,"33,3",4,"16,0",1,"3,3",1,"4,0",1,"3,3",25,30
1919,COLEGIO H. F. CAMILO HENRIQUEZ,Subvencionado,Región de Valparaíso,Quilpué,URBANO,0,"0,0",1,"5,0",3,"15,8",1,"5,0",9,"47,4",8,"40,0",5,"26,3",8,"40,0",2,"10,5",2,"10,0",0,"0,0",1,"5,0",19,20
1923,COLEGIO CRISTIANO DE QUILPUE,Subvencionado,Región de Valparaíso,Quilpué,URBANO,0,"0,0",1,"1,6",7,"11,1",5,"7,9",25,"39,7",28,"44,4",20,"31,7",21,"33,3",11,"17,5",8,"12,7",3,"4,8",2,"3,2",63,63
1934,COLEGIO ESPERANZA,Subvencionado,Región de Valparaíso,Quilpué,URBANO,0,"0,0",0,"0,0",3,"5,8",1,"1,3",28,"53,8",44,"57,9",14,"26,9",27,"35,5",7,"13,5",4,"5,3",1,"1,9",2,"2,6",52,76
1941,COLEGIO EL BELLOTO,Subvencionado,Región de Valparaíso,Quilpué,URBANO,1,"2,1",0,"0,0",2,"4,3",4,"10,5",31,"66,0",22,"57,9",11,"23,4",9,"23,7",2,"4,3",3,"7,9",0,"0,0",0,"0,0",47,38
14233,COLEGIO SANTA TERESA,Subvencionado,Región de Valparaíso,Quilpué,URBANO,0,"0,0",0,"0,0",1,"10,0",0,"0,0",4,"40,0",12,"63,2",2,"20,0",5,"26,3",3,"30,0",2,"10,5",0,"0,0",0,"0,0",10,19
14237,COL.NUESTRA SRA.DE LAS MERCEDES,Subvencionado,Región de Valparaíso,Quilpué,URBANO,0,"0,0",1,"7,7",0,"0,0",0,"0,0",1,"11,1",6,"46,2",4,"44,4",3,"23,1",4,"44,4",3,"23,1",0,"0,0",0,"0,0",9,13
14299,COLEGIO ADVENTISTA ANEXO,Subvencionado,Región de Valparaíso,Quilpué,URBANO,0,"0,0",0,"0,0",1,"4,2",1,"4,8",7,"29,2",6,"28,6",11,"45,8",7,"33,3",5,"20,8",7,"33,3",2,"8,3",0,"0,0",24,21
14314,COLEGIO THOMAS ALVA EDISON,Subvencionado,Región de Valparaíso,Quilpué,URBANO,0,"0,0",0,"0,0",4,"25,0",0,"0,0",7,"43,8",7,"63,6",4,"25,0",2,"18,2",1,"6,3",2,"18,2",0,"0,0",0,"0,0",16,11
14336,LICEO TECN. PROF. OBISPO RAFAEL LIRA INFANTE,Subvencionado,Región de Valparaíso,Quilpué,URBANO,1,"11,1",1,"4,5",0,"0,0",1,"4,5",2,"22,2",6,"27,3",5,"55,6",11,"50,0",1,"11,1",3,"13,6",2,"22,2",1,"4,5",9,22
14359,COLEGIO LOS REYES,Subvencionado,Región de Valparaíso,Quilpué,URBANO,1,"1,5",0,"0,0",3,"4,6",4,"5,6",33,"50,8",36,"50,0",16,"24,6",27,"37,5",12,"18,5",5,"6,9",0,"0,0",0,"0,0",65,72
14365,COLEGIO CHARLES DICKENS,Subvencionado,Región de Valparaíso,Quilpué,URBANO,3,"10,7",0,"0,0",0,"0,0",2,"10,0",15,"53,6",8,"40,0",5,"17,9",7,"35,0",5,"17,9",3,"15,0",0,"0,0",1,"5,0",28,20
14418,COLEGIO PANAL  ANEXO,Subvencionado,Región de Valparaíso,Quilpué,URBANO,0,"0,0",0,"0,0",0,"0,0",0,"0,0",4,"26,7",7,"43,8",10,"66,7",5,"31,3",1,"6,7",4,"25,0",0,"0,0",0,"0,0",15,16
14470,LICEO TECNICO FEMENINO DE QUILPUE,Municipal,Región de Valparaíso,Quilpué,URBANO,0,"0,0",1,"1,9",5,"15,2",1,"1,9",14,"42,4",25,"46,3",6,"18,2",19,"35,2",8,"24,2",8,"14,8",1,"3,0",4,"7,4",33,54
14527,KING EDWARD'S SCHOOL 2,Subvencionado,Región de Valparaíso,Quilpué,URBANO,0,"0,0",0,"0,0",0,"0,0",0,"0,0",7,"43,8",19,"70,4",9,"56,3",7,"25,9",0,"0,0",1,"3,7",1,"6,3",2,"7,4",16,27
14552,COLEGIO SAN NICOLAS DE CANAL CHACAO,Subvencionado,Región de Valparaíso,Quilpué,URBANO,0,"0,0",0,"0,0",1,"4,2",0,"0,0",21,"87,5",14,"93,3",2,"8,3",1,"6,7",0,"0,0",0,"0,0",1,"4,2",0,"0,0",24,15
14599,COLEGIO POETA DANIEL DE LA VEGA,Subvencionado,Región de Valparaíso,Quilpué,URBANO,1,"5,9",0,"0,0",1,"5,9",2,"11,8",8,"47,1",7,"41,2",2,"11,8",4,"23,5",5,"29,4",4,"23,5",0,"0,0",0,"0,0",17,17
14642,COLEGIO CRISTIANO EMBAJADORES DEL REY,Subvencionado,Región de Valparaíso,Quilpué,URBANO,1,"4,5",1,"5,0",1,"4,5",1,"5,0",10,"45,5",9,"45,0",5,"22,7",7,"35,0",5,"22,7",2,"10,0",1,"4,5",1,"5,0",22,20
14659,COLEGIO INGLES SAN ANFELI,Subvencionado,Región de Valparaíso,Quilpué,URBANO,1,"25,0",0,"0,0",0,"0,0",1,"12,5",1,"25,0",4,"50,0",2,"50,0",3,"37,5",0,"0,0",0,"0,0",0,"0,0",0,"0,0",4,8
14677,COLEGIO CAPITAN ARTURO PRAT CHACON,Subvencionado,Región de Valparaíso,Quilpué,URBANO,1,"4,3",0,"0,0",1,"4,3",1,"7,7",8,"34,8",10,"76,9",8,"34,8",2,"15,4",5,"21,7",0,"0,0",0,"0,0",0,"0,0",23,13
14687,COLEGIO GEA,Subvencionado,Región de Valparaíso,Quilpué,URBANO,0,"0,0",0,"0,0",1,"3,8",0,"0,0",14,"53,8",5,"50,0",9,"34,6",3,"30,0",2,"7,7",2,"20,0",0,"0,0",0,"0,0",26,10
14717,COLEGIO LAS AMERICAS,Subvencionado,Región de Valparaíso,Quilpué,URBANO,0,"0,0",0,"0,0",1,"5,9",1,"5,3",11,"64,7",13,"68,4",3,"17,6",3,"15,8",2,"11,8",2,"10,5",0,"0,0",0,"0,0",17,19
14720,LICEO GASTRONOMIA Y TURISMO,Municipal,Región de Valparaíso,Quilpué,URBANO,0,"0,0",0,"0,0",1,"1,9",2,"2,8",29,"53,7",33,"45,8",11,"20,4",24,"33,3",13,"24,1",13,"18,1",0,"0,0",2,"2,8",54,72
14771,COLEGIO CARLOMAGNO,Subvencionado,Región de Valparaíso,Quilpué,URBANO,0,"0,0",0,"0,0",1,"10,0",4,"23,5",6,"60,0",11,"64,7",3,"30,0",2,"11,8",0,"0,0",0,"0,0",0,"0,0",0,"0,0",10,17
14775,COLEGIO MONTESOL 2,Subvencionado,Región de Valparaíso,Quilpué,URBANO,0,"0,0",0,"0,0",1,"5,3",0,"0,0",13,"68,4",7,"70,0",4,"21,1",2,"20,0",1,"5,3",1,"10,0",1,"5,3",0,"0,0",19,10
