Código Establecimiento,Nombre Establecimiento,Dependencia Establecimiento,Nombre Región,Nombre Comuna,Área Geográfica,Niños con Desnutrición,Prevalencia Desnutrición Niños,Niñas con Desnutrición,Prevalencia Desnutrición Niñas,Niños con Bajo Peso,Prevalencia Bajo Peso Niños,Niñas con Bajo Peso,Prevalencia Bajo Peso Niñas,Niños con Peso Normal,Prevalencia Peso Normal Niños,Niñas con Peso Normal,Prevalencia Peso Normal Niñas,Niños con Sobrepeso,Prevalencia Sobrepeso Niños,Niñas con Sobrepeso,Prevalencia Sobrepeso Niñas,Niños con Obesidad,Prevalencia Obesidad Niños,Niñas con Obesidad,Prevalencia Obesidad Niñas,Niños con Retraso en talla,Prevalencia Retraso en talla Niños,Niñas con Retraso en talla,Prevalencia Retraso en talla Niñas,Total Niños,Total Niñas
12509,LICEO PDTE. ANIBAL PINTO GARMENDIA.,Subvencionado,Región de Tarapacá,Iquique,URBANO,2,"7,4",1,"2,3",2,"7,4",2,"4,7",11,"40,7",25,"58,1",7,"25,9",11,"25,6",5,"18,5",4,"9,3",0,"0,0",0,"0,0",27,43
12515,COLEGIO NUSTA KORI,Subvencionado,Región de Tarapacá,Iquique,URBANO,0,"0,0",0,"0,0",2,"11,8",2,"10,5",9,"52,9",10,"52,6",5,"29,4",7,"36,8",1,"5,9",0,"0,0",0,"0,0",0,"0,0",17,19
12518,COLEGIO DIOCESANO OBISPO LABBE,Subvencionado,Región de Tarapacá,Iquique,URBANO,1,"2,1",0,"0,0",5,"10,4",3,"7,7",28,"58,3",21,"53,8",11,"22,9",10,"25,6",3,"6,3",5,"12,8",2,"4,2",0,"0,0",48,39
12573,COLEGIO MARIA REINA,Subvencionado,Región de Tarapacá,Iquique,URBANO,0,"0,0",0,"0,0",2,"5,1",4,"11,1",15,"38,5",13,"36,1",11,"28,2",12,"33,3",11,"28,2",7,"19,4",0,"0,0",1,"2,8",39,36
12590,COLEGIO HISPANO ITALIANA,Subvencionado,Región de Tarapacá,Iquique,URBANO,1,"7,7",0,"0,0",0,"0,0",1,"5,6",1,"7,7",12,"66,7",6,"46,2",3,"16,7",5,"38,5",2,"11,1",0,"0,0",0,"0,0",13,18
12591,LICEO SAMCA ARUMANTI,Subvencionado,Región de Tarapacá,Iquique,URBANO,0,"0,0",0,"0,0",4,"8,0",5,"9,8",22,"44,0",21,"41,2",18,"36,0",11,"21,6",6,"12,0",14,"27,5",1,"2,0",1,"2,0",50,51
12594,COLEGIO ANTAMARA,Subvencionado,Región de Tarapacá,Iquique,URBANO,1,"6,7",0,"0,0",3,"20,0",0,"0,0",6,"40,0",8,"57,1",2,"13,3",4,"28,6",3,"20,0",2,"14,3",0,"0,0",0,"0,0",15,14
12604,ESCUELA BASICA CORONA SCHOOL,Subvencionado,Región de Tarapacá,Iquique,URBANO,2,"7,7",0,"0,0",4,"15,4",2,"6,3",14,"53,8",15,"46,9",4,"15,4",12,"37,5",2,"7,7",3,"9,4",0,"0,0",1,"3,1",26,32
12631,COLEGIO INGLES,Subvencionado,Región de Tarapacá,Iquique,URBANO,2,"3,4",1,"1,4",6,"10,2",3,"4,1",18,"30,5",32,"43,2",21,"35,6",24,"32,4",12,"20,3",14,"18,9",0,"0,0",3,"4,1",59,74
12667,COLEGIO HUMBERSTONE,Subvencionado,Región de Tarapacá,Iquique,URBANO,2,"3,6",3,"4,6",6,"10,9",5,"7,7",25,"45,5",32,"49,2",13,"23,6",17,"26,2",9,"16,4",8,"12,3",1,"1,8",0,"0,0",55,65
12669,COLEGIO HISPANO BRITANICO IQUIQUE,Subvencionado,Región de Tarapacá,Iquique,URBANO,0,"0,0",0,"0,0",8,"18,2",2,"5,4",20,"45,5",19,"51,4",13,"29,5",13,"35,1",3,"6,8",3,"8,1",0,"0,0",4,"10,8",44,37
12672,COLEGIO SALESIANO DE IQUIQUE,Subvencionado,Región de Tarapacá,Iquique,URBANO,1,"1,4",0,"0,0",4,"5,6",0,"0,0",46,"63,9",0,"0,0",17,"23,6",0,"0,0",4,"5,6",0,"0,0",2,"2,8",0,"0,0",72,0
12683,LICEO COLEGIO DEPORTIVO,Municipal,Región de Tarapacá,Iquique,URBANO,0,"0,0",0,"0,0",0,"0,0",0,"0,0",17,"73,9",4,"57,1",3,"13,0",3,"42,9",3,"13,0",0,"0,0",3,"13,0",2,"28,6",23,7
12735,COLEGIO UNIVERSITARIO UNAP,Subvencionado,Región de Tarapacá,Iquique,URBANO,0,"0,0",0,"0,0",1,"3,0",3,"9,4",16,"48,5",13,"40,6",10,"30,3",14,"43,8",6,"18,2",2,"6,3",0,"0,0",0,"0,0",33,32
12741,COLEGIO LATIONOAMERICANO  LAS PARINAS,Subvencionado,Región de Tarapacá,Iquique,URBANO,1,"6,7",0,"0,0",1,"6,7",2,"20,0",5,"33,3",1,"10,0",4,"26,7",5,"50,0",4,"26,7",2,"20,0",1,"6,7",0,"0,0",15,10
12762,IQRA ARABIAN BRITISH SCHOOL,Subvencionado,Región de Tarapacá,Iquique,RURAL,0,"0,0",0,"0,0",2,"10,5",1,"8,3",11,"57,9",8,"66,7",3,"15,8",2,"16,7",3,"15,8",1,"8,3",0,"0,0",0,"0,0",19,12
40295,COLEGIO MAHATMA GANDHI,Subvencionado,Región de Tarapacá,Iquique,URBANO,0,"0,0",0,"0,0",1,"2,3",2,"6,7",20,"45,5",13,"43,3",15,"34,1",12,"40,0",8,"18,2",3,"10,0",1,"2,3",1,"3,3",44,30
40320,COLEGIO ACADEMIA TARAPACA ORELLA,Subvencionado,Región de Tarapacá,Iquique,URBANO,0,"0,0",0,"0,0",1,"2,3",1,"1,8",21,"47,7",25,"43,9",16,"36,4",25,"43,9",6,"13,6",6,"10,5",0,"0,0",0,"0,0",44,57
10917,LICEO S.S JUAN PABLO SEGUNDO,Municipal,Región de Tarapacá,Alto Hospicio,URBANO,3,"3,6",0,"0,0",0,"0,0",0,"0,0",33,"39,8",31,"58,5",34,"41,0",16,"30,2",13,"15,7",6,"11,3",2,"2,4",2,"3,8",83,53
12534,LICEO COLEGIO METODISTA ROBERT JOHNSON,Subvencionado,Región de Tarapacá,Alto Hospicio,RURAL,0,"0,0",0,"0,0",4,"4,8",2,"2,0",34,"40,5",47,"47,5",26,"31,0",31,"31,3",20,"23,8",19,"19,2",9,"10,7",8,"8,1",84,99
12566,COLEGIO METODISTA WILLIAM TAYLOR,Subvencionado,Región de Tarapacá,Alto Hospicio,RURAL,0,"0,0",0,"0,0",4,"4,9",2,"2,7",39,"48,1",34,"45,9",21,"25,9",23,"31,1",17,"21,0",15,"20,3",9,"11,1",5,"6,8",81,74
12602,ESC. BASICA Y PARV. KRONOS SCHOOL,Subvencionado,Región de Tarapacá,Alto Hospicio,URBANO,1,"2,6",0,"0,0",3,"7,9",0,"0,0",14,"36,8",7,"41,2",13,"34,2",9,"52,9",7,"18,4",1,"5,9",1,"2,6",1,"5,9",38,17
12603,LICEO LOS CONDORES,Subvencionado,Región de Tarapacá,Alto Hospicio,URBANO,2,"4,3",0,"0,0",4,"8,7",1,"1,9",24,"52,2",22,"41,5",9,"19,6",21,"39,6",7,"15,2",9,"17,0",1,"2,2",1,"1,9",46,53
12605,ACADEMIA IQUIQUE HOSPICIO,Subvencionado,Región de Tarapacá,Alto Hospicio,URBANO,1,"2,3",0,"0,0",1,"2,3",0,"0,0",17,"39,5",20,"44,4",18,"41,9",16,"35,6",6,"14,0",9,"20,0",2,"4,7",1,"2,2",43,45
12632,COLEGIO SIMON BOLIVAR,Municipal,Región de Tarapacá,Alto Hospicio,URBANO,0,"0,0",0,"0,0",2,"5,3",2,"5,6",18,"47,4",25,"69,4",14,"36,8",7,"19,4",4,"10,5",2,"5,6",4,"10,5",1,"2,8",38,36
12649,LICEO SUPERIOR DIEGO PORTALES,Subvencionado,Región de Tarapacá,Alto Hospicio,URBANO,0,"0,0",0,"0,0",1,"1,8",2,"3,1",20,"35,7",26,"40,0",19,"33,9",18,"27,7",16,"28,6",19,"29,2",2,"3,6",2,"3,1",56,65
12650,L.POLIV. SAGRADO CORAZON DE HOSPICIO,Subvencionado,Región de Tarapacá,Alto Hospicio,URBANO,0,"0,0",0,"0,0",14,"9,7",11,"6,8",58,"40,3",77,"47,8",39,"27,1",57,"35,4",33,"22,9",16,"9,9",7,"4,9",14,"8,7",144,161
12652,COLEGIO SANTO DOMINGO SAVIO,Subvencionado,Región de Tarapacá,Alto Hospicio,URBANO,1,"1,4",0,"0,0",12,"16,9",11,"21,2",43,"60,6",36,"69,2",14,"19,7",3,"5,8",1,"1,4",2,"3,8",1,"1,4",0,"0,0",71,52
12655,COLEGIO SAN PEDRO,Subvencionado,Región de Tarapacá,Alto Hospicio,URBANO,0,"0,0",0,"0,0",2,"5,4",0,"0,0",15,"40,5",17,"54,8",13,"35,1",10,"32,3",7,"18,9",4,"12,9",2,"5,4",0,"0,0",37,31
12686,LICEO ACADEMIA NACIONAL,Subvencionado,Región de Tarapacá,Alto Hospicio,URBANO,2,"8,3",1,"3,7",3,"12,5",1,"3,7",11,"45,8",10,"37,0",4,"16,7",10,"37,0",4,"16,7",5,"18,5",0,"0,0",0,"0,0",24,27
12719,LICEO PABLO NERUDA,Subvencionado,Región de Tarapacá,Alto Hospicio,URBANO,0,"0,0",1,"4,2",2,"8,0",1,"4,2",13,"52,0",11,"45,8",6,"24,0",8,"33,3",4,"16,0",3,"12,5",1,"4,0",0,"0,0",25,24
12747,COLEGIO RUPANIC SCHOOL,Subvencionado,Región de Tarapacá,Alto Hospicio,URBANO,1,"2,9",0,"0,0",3,"8,8",2,"8,0",13,"38,2",10,"40,0",11,"32,4",3,"12,0",6,"17,6",10,"40,0",3,"8,8",0,"0,0",34,25
12749,COLEGIO MARISTA HERMANO FERNANDO,Subvencionado,Región de Tarapacá,Alto Hospicio,URBANO,2,"5,0",0,"0,0",3,"7,5",1,"4,0",17,"42,5",16,"64,0",8,"20,0",7,"28,0",10,"25,0",1,"4,0",1,"2,5",1,"4,0",40,25
40399,COLEGIO NAZARET,Subvencionado,Región de Tarapacá,Alto Hospicio,URBANO,0,"0,0",0,"0,0",4,"33,3",1,"14,3",5,"41,7",4,"57,1",3,"25,0",1,"14,3",0,"0,0",1,"14,3",0,"0,0",1,"14,3",12,7
40422,COLEGIO NIRVANA,Subvencionado,Región de Tarapacá,Alto Hospicio,URBANO,1,"2,7",0,"0,0",0,"0,0",1,"5,6",18,"48,6",5,"27,8",8,"21,6",9,"50,0",10,"27,0",3,"16,7",0,"0,0",1,"5,6",37,18
191,LIC. ALCDE.SERGIO GONZALEZ GUTIERREZ,Municipal,Región de Tarapacá,Pozo Almonte,RURAL,0,"0,0",0,"0,0",7,"8,5",1,"1,2",34,"41,5",31,"38,3",22,"26,8",34,"42,0",19,"23,2",15,"18,5",6,"7,3",6,"7,4",82,81
12759,LICEO CAMIÑA,Municipal,Región de Tarapacá,Camiña,RURAL,0,"0,0",0,"0,0",2,"20,0",0,"0,0",4,"40,0",3,"50,0",3,"30,0",3,"50,0",1,"10,0",0,"0,0",1,"10,0",1,"16,7",10,6
178,LICEO TECNICO PROFESIONAL COLCHANE,Municipal,Región de Tarapacá,Colchane,RURAL,0,"0,0",0,"0,0",0,"0,0",0,"0,0",3,"60,0",4,"66,7",2,"40,0",2,"33,3",0,"0,0",0,"0,0",0,"0,0",2,"33,3",5,6
161,LICEO DE HUARA,Municipal,Región de Tarapacá,Huara,RURAL,0,"0,0",0,"0,0",1,"9,1",1,"12,5",6,"54,5",6,"75,0",3,"27,3",0,"0,0",1,"9,1",1,"12,5",0,"0,0",1,"12,5",11,8
12551,LIC.PADRE ALBERTO HURTADO CRUCHAGA,Municipal,Región de Tarapacá,Pica,URBANO,1,"2,2",1,"2,4",4,"8,7",1,"2,4",21,"45,7",11,"26,2",14,"30,4",24,"57,1",6,"13,0",5,"11,9",1,"2,2",1,"2,4",46,42
279,LICEO INDUSTRIAL EULOGIO GORDO MONEO,Municipal,Región de Antofagasta,Antofagasta,URBANO,8,"2,0",1,"0,9",28,"7,1",5,"4,6",189,"48,1",49,"45,4",109,"27,7",41,"38,0",59,"15,0",12,"11,1",14,"3,6",3,"2,8",393,108
280,LICEO COMERCIAL JERARDO MUNOZ CAMPO,Municipal,Región de Antofagasta,Antofagasta,URBANO,6,"3,0",3,"1,6",22,"10,8",9,"4,8",98,"48,3",86,"46,0",47,"23,2",60,"32,1",30,"14,8",29,"15,5",14,"6,9",4,"2,1",203,187
283,LICEO TECNICO DE ANTOFAGASTA,Municipal,Región de Antofagasta,Antofagasta,URBANO,3,"4,8",3,"1,0",2,"3,2",21,"7,2",34,"54,0",151,"52,1",16,"25,4",75,"25,9",8,"12,7",40,"13,8",6,"9,5",13,"4,5",63,290
284,LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA,Municipal,Región de Antofagasta,Antofagasta,URBANO,2,"2,2",0,"0,0",9,"9,8",1,"1,6",45,"48,9",30,"49,2",25,"27,2",20,"32,8",11,"12,0",10,"16,4",5,"5,4",1,"1,6",92,61
285,LICEO MARTA NAREA DIAZ,Municipal,Región de Antofagasta,Antofagasta,URBANO,0,"0,0",1,"1,3",4,"5,3",0,"0,0",36,"48,0",37,"47,4",19,"25,3",27,"34,6",16,"21,3",13,"16,7",4,"5,3",4,"5,1",75,78
286,LICEO LA PORTADA,Municipal,Región de Antofagasta,Antofagasta,URBANO,2,"2,1",0,"0,0",5,"5,3",1,"0,9",45,"47,9",60,"56,6",30,"31,9",24,"22,6",12,"12,8",21,"19,8",3,"3,2",3,"2,8",94,106
287,LICEO DOMINGO HERRERA RIVERA,Municipal,Región de Antofagasta,Antofagasta,URBANO,6,"5,3",0,"0,0",11,"9,6",13,"7,8",47,"41,2",82,"49,1",29,"25,4",48,"28,7",21,"18,4",24,"14,4",2,"1,8",3,"1,8",114,167
304,LICEO ANDRES SABELLA,Municipal,Región de Antofagasta,Antofagasta,URBANO,0,"0,0",2,"2,4",7,"12,7",5,"5,9",20,"36,4",42,"49,4",15,"27,3",20,"23,5",13,"23,6",16,"18,8",1,"1,8",3,"3,5",55,85
320,ESCUELA ARMANDO CARRERA GONZALEZ,Municipal,Región de Antofagasta,Antofagasta,URBANO,0,"0,0",0,"0,0",5,"11,1",1,"2,4",22,"48,9",20,"48,8",9,"20,0",13,"31,7",9,"20,0",7,"17,1",1,"2,2",0,"0,0",45,41
329,ESCUELA LIBERTADORES DE CHILE,Municipal,Región de Antofagasta,Antofagasta,URBANO,0,"0,0",0,"0,0",2,"10,0",2,"14,3",9,"45,0",9,"64,3",5,"25,0",3,"21,4",4,"20,0",0,"0,0",1,"5,0",0,"0,0",20,14
335,COLEGIO EVANGELICO JOSE LANCASTER,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,0,"0,0",0,"0,0",1,"5,9",2,"20,0",6,"35,3",3,"30,0",6,"35,3",2,"20,0",4,"23,5",3,"30,0",0,"0,0",0,"0,0",17,10
336,LICEO EXPERIMENTAL ARTISTICO-APLICACION,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,0,"0,0",0,"0,0",0,"0,0",0,"0,0",29,"61,7",38,"62,3",13,"27,7",16,"26,2",5,"10,6",7,"11,5",2,"4,3",1,"1,6",47,61
337,ESCUELA PARTICULAR SANTA TERESITA,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,0,"0,0",0,"0,0",5,"12,5",2,"7,1",21,"52,5",11,"39,3",10,"25,0",12,"42,9",4,"10,0",3,"10,7",0,"0,0",0,"0,0",40,28
341,ESCUELA PARTICULAR ADVENTISTA,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,1,"2,9",1,"2,4",4,"11,8",6,"14,6",13,"38,2",17,"41,5",11,"32,4",11,"26,8",5,"14,7",6,"14,6",2,"5,9",2,"4,9",34,41
342,COLEGIO INGLES SAN JOSE,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,2,"2,8",0,"0,0",5,"7,0",4,"4,5",41,"57,7",53,"60,2",18,"25,4",24,"27,3",5,"7,0",7,"8,0",1,"1,4",1,"1,1",71,88
344,COLEGIO SANTA EMILIA,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,0,"0,0",0,"0,0",0,"0,0",0,"0,0",6,"35,3",15,"40,5",5,"29,4",17,"45,9",6,"35,3",5,"13,5",1,"5,9",0,"0,0",17,37
350,ESCUELA PARTICULAR LIDIA MORENO,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,1,"4,2",1,"2,1",4,"16,7",4,"8,5",12,"50,0",29,"61,7",5,"20,8",10,"21,3",2,"8,3",3,"6,4",0,"0,0",0,"0,0",24,47
356,ESCUELA PARTICULAR CORAZON DE MARIA,Subvencionado,Región de Antofagasta,Antofagasta,URBANO,0,"0,0",0,"0,0",3,"8,1",3,"7,7",18,"48,6",16,"41,0",7,"18,9",15,"38,5",9,"24,3",5,"12,8",2,"5,4",1,"2,6",37,39
