idrbd,dnino,dnina,bpnino,bpnina,nnino,nnina,snino,snina,onino,onina,rtnino,rtnina,tnino,tnina,total
11157,1,1,3,1,13,7,6,2,2,1,0,0,25,12,37
13305,0,0,1,1,4,7,2,3,2,1,0,0,9,12,21
13330,0,0,0,0,8,3,4,2,0,2,0,0,12,7,19
13333,0,0,2,1,20,7,9,2,7,1,0,1,38,11,49
13344,0,0,2,3,17,11,8,6,4,5,1,0,31,25,56
13356,1,0,6,2,14,18,11,9,4,4,0,0,36,33,69
13360,1,0,2,0,3,17,5,11,3,2,0,0,14,30,44
13372,0,1,2,0,10,13,5,5,2,1,0,0,19,20,39
13384,2,0,1,1,17,18,11,16,6,4,1,0,37,39,76
13388,0,0,3,1,6,7,4,9,2,3,1,0,15,20,35
13416,0,0,1,0,8,9,2,5,0,0,0,0,11,14,25
13417,0,0,1,1,10,5,8,4,4,2,2,0,23,12,35
13420,0,0,3,1,36,36,17,15,12,15,4,1,68,67,135
13426,0,0,1,1,6,4,4,4,3,2,1,0,14,11,25
13446,2,0,6,3,13,15,5,8,5,8,1,2,31,34,65
13450,3,0,2,3,17,23,6,11,4,3,1,2,32,40,72
13475,0,0,10,1,17,12,17,9,13,4,0,2,57,26,83
13503,0,0,2,2,13,5,8,5,3,3,0,0,26,15,41
13535,0,0,0,0,10,19,9,11,4,1,0,1,23,31,54
13565,0,0,1,1,14,7,5,5,3,2,0,0,23,15,38
13574,0,0,0,2,2,16,8,2,0,0,0,1,10,20,30
13576,1,0,3,0,8,24,3,18,0,6,0,3,15,48,63
13582,0,0,4,3,32,27,22,23,10,7,0,1,68,60,128
13586,1,0,1,2,12,18,10,12,9,5,0,0,33,37,70
13587,2,0,1,1,11,4,2,5,2,0,0,0,18,10,28
13610,0,1,0,2,5,2,2,0,2,1,0,0,9,6,15
31201,0,0,1,2,4,8,5,6,1,2,0,0,11,18,29
31221,0,0,0,0,4,4,0,0,1,0,0,0,5,4,9
40194,0,0,3,1,9,9,9,9,3,1,0,1,24,20,44
40231,3,0,1,3,5,5,7,7,2,2,0,0,18,17,35
40298,6,2,6,3,23,25,22,16,8,6,0,2,65,52,117
609,2,0,8,1,51,42,27,31,13,25,0,2,101,99,200
610,3,0,12,0,101,6,50,7,38,3,6,0,204,16,220
611,0,2,5,3,20,21,10,12,9,6,2,2,44,44,88
613,4,0,2,4,12,18,7,16,6,3,2,0,31,41,72
629,0,1,2,3,18,14,12,13,10,4,1,4,42,35,77
646,3,0,9,8,40,51,20,26,8,11,2,3,80,96,176
647,0,0,4,1,11,7,5,2,6,2,0,1,26,12,38
648,0,0,0,3,12,32,6,11,5,7,1,2,23,53,76
649,0,0,2,2,15,24,12,18,8,8,0,3,37,52,89
11103,0,0,3,0,19,21,7,6,5,5,0,2,34,32,66
11105,0,0,1,1,5,11,4,10,3,4,0,0,13,26,39
11133,0,0,4,3,6,5,5,4,1,3,0,1,16,15,31
11139,2,0,5,0,42,29,24,20,15,17,2,2,88,66,154
11144,0,0,4,1,16,21,7,19,2,7,2,1,29,48,77
11145,0,0,0,1,16,9,0,9,1,5,0,1,17,24,41
13313,0,1,3,1,25,22,16,16,13,4,2,0,57,44,101
13314,0,0,2,0,18,23,7,12,5,7,2,2,32,42,74
13324,0,0,3,2,19,20,6,13,2,4,0,1,30,39,69
13332,0,0,3,2,2,7,2,5,2,2,0,0,9,16,25
13341,0,0,1,1,2,7,3,3,1,1,1,1,7,12,19
13361,0,0,5,0,15,17,13,10,3,3,0,1,36,30,66
13370,0,1,2,3,11,16,10,8,6,2,1,1,29,30,59
13373,0,0,8,2,17,15,8,12,2,1,0,1,35,30,65
13442,0,0,3,1,22,19,10,11,7,2,0,0,42,33,75
13445,2,0,1,0,2,6,0,3,0,0,0,0,5,9,14
13461,1,0,2,1,10,7,6,9,7,3,2,2,26,20,46
13489,0,0,1,0,18,12,10,17,4,3,1,4,33,32,65
13491,5,0,8,1,19,7,12,9,4,8,1,0,48,25,73
13504,0,0,1,1,19,18,10,19,9,3,0,2,39,41,80
13553,1,0,3,0,11,8,3,3,2,2,1,1,20,13,33
13558,1,0,2,5,30,20,19,11,12,17,2,4,64,53,117
13561,1,0,3,2,23,18,5,21,3,3,0,0,35,44,79
13604,1,0,0,0,7,8,5,4,4,7,0,0,17,19,36
13621,0,0,0,0,11,5,10,7,5,4,1,0,26,16,42
13626,0,0,0,0,4,9,7,4,5,4,0,0,16,17,33
13633,0,0,2,1,12,6,2,6,6,1,0,0,22,14,36
40064,0,0,0,2,15,10,4,6,0,0,1,0,19,18,37
40208,0,0,1,0,6,6,6,3,3,1,0,0,16,10,26
656,3,0,2,3,23,12,11,10,9,4,5,0,48,29,77
664,0,0,0,3,8,5,8,10,7,4,0,2,23,22,45
597,0,0,1,0,6,2,2,0,0,1,0,0,9,3,12
40029,0,1,3,0,8,7,2,4,7,2,0,0,20,14,34
665,0,0,9,1,36,21,25,16,19,4,3,0,89,42,131
690,2,0,2,2,15,18,10,15,7,3,3,1,36,38,74
13606,1,0,8,5,30,22,9,23,11,5,2,1,59,55,114
967,0,0,2,2,32,32,11,25,15,9,2,3,60,68,128
968,2,0,9,2,60,16,45,12,26,5,5,1,142,35,177
982,0,0,0,0,1,3,0,7,0,4,0,1,1,14,15
987,0,1,2,4,15,35,25,19,4,2,0,2,46,61,107
988,0,0,3,2,11,33,9,23,9,15,1,2,32,73,105
11130,0,1,4,2,22,15,5,8,4,5,0,1,35,31,66
13352,1,1,5,1,27,23,15,8,7,9,3,0,55,42,97
1048,1,0,4,2,33,26,8,18,8,7,1,2,54,53,107
13486,0,1,6,3,31,46,21,23,16,17,1,1,74,90,164
1013,1,1,3,1,21,15,12,13,9,5,1,1,46,35,81
1036,1,1,2,1,22,23,9,8,10,8,0,0,44,41,85
13383,1,2,0,0,4,13,6,8,5,5,0,0,16,28,44
13394,0,0,1,0,15,6,14,8,8,6,2,0,38,20,58
13627,1,0,3,0,12,10,8,6,1,3,0,1,25,19,44
40319,1,1,0,1,22,24,8,10,4,4,0,2,35,40,75
701,2,0,7,1,24,19,11,15,7,10,2,1,51,45,96
704,0,0,5,6,26,51,13,30,8,12,0,3,52,99,151
705,6,0,28,3,136,24,53,11,40,12,7,0,263,50,313
763,0,1,1,2,25,19,12,19,6,5,2,6,44,46,90
766,1,0,1,3,31,46,15,21,6,6,1,2,54,76,130
767,0,0,3,0,12,7,4,5,4,1,0,1,23,13,36
768,0,1,0,9,0,121,0,95,0,40,0,8,0,266,266
769,1,0,2,0,21,15,18,16,10,7,0,0,52,38,90
772,1,0,4,1,39,11,26,11,11,1,5,2,81,24,105
11106,2,2,4,2,21,38,13,13,10,8,0,2,50,63,113
11107,0,0,0,0,15,19,5,7,4,2,0,0,24,28,52
13387,2,0,2,2,11,18,5,15,4,7,0,1,24,42,66
13439,1,0,1,1,9,10,4,7,1,1,0,1,16,19,35
13513,0,0,2,0,4,11,5,4,3,4,0,0,14,19,33
13551,1,0,0,0,12,7,10,8,6,6,2,1,29,21,50
13573,0,1,1,1,11,4,3,2,2,1,0,0,17,9,26
13590,0,0,2,2,7,7,3,4,4,3,0,2,16,16,32
40126,3,0,3,2,28,14,16,7,7,11,1,1,57,34,91
845,0,0,2,2,37,35,16,11,12,4,1,0,67,52,119
13545,0,0,5,0,2,8,1,1,0,0,0,0,8,9,17
799,0,0,5,3,23,17,7,11,7,2,4,2,42,33,75
802,1,1,7,4,57,32,27,16,13,10,9,5,105,63,168
13427,0,0,5,1,11,19,12,10,12,6,0,2,40,36,76
13462,0,0,0,0,5,2,6,3,4,1,0,0,15,6,21
11111,0,0,2,0,23,9,12,9,3,8,1,0,40,26,66
13542,0,0,1,1,4,13,4,5,5,2,0,0,14,21,35
774,0,1,1,0,6,8,4,8,2,3,0,2,13,20,33
11110,1,0,1,0,1,1,4,1,1,2,0,0,8,4,12
1502,5,2,11,10,56,68,36,25,21,21,5,6,129,126,255
1503,10,0,29,1,129,8,69,9,65,5,7,0,302,23,325
1504,2,1,4,7,34,64,24,74,20,50,7,13,84,196,280
1515,0,0,12,4,69,82,45,61,20,25,0,3,146,172,318
1516,0,0,5,0,31,8,11,7,12,7,2,1,59,22,81
1517,0,0,5,2,18,20,7,6,8,7,0,1,38,35,73
1518,0,0,1,2,8,14,8,22,8,1,1,3,25,39,64
1519,0,0,1,0,22,15,18,0,9,1,2,1,50,16,66
1520,0,0,3,3,22,29,12,31,8,12,0,1,45,75,120
1521,0,1,0,1,0,25,0,12,0,18,0,3,0,57,57
1522,0,0,0,1,3,1,0,0,0,1,0,1,3,3,6
1525,3,1,6,4,70,47,41,43,43,44,7,5,163,139,302
1542,0,0,2,1,8,2,5,2,2,3,0,0,17,8,25
1549,0,0,2,1,13,6,11,3,1,4,1,0,27,14,41
1579,0,0,3,1,7,12,3,6,1,3,0,0,14,22,36
1580,0,0,1,0,9,8,9,5,2,0,0,0,21,13,34
1581,0,1,1,1,13,28,5,21,6,12,0,0,25,63,88
1582,1,0,0,3,10,16,5,6,5,1,0,0,21,26,47
1585,0,0,3,2,21,12,6,13,2,12,0,0,32,39,71
1586,0,0,0,2,11,30,6,27,1,5,0,1,18,64,82
1587,0,0,0,3,0,29,0,16,0,16,0,0,0,64,64
1588,0,0,1,1,4,13,4,12,0,2,0,0,9,28,37
1590,7,0,29,0,116,0,70,0,28,0,7,0,250,0,250
1594,0,0,0,1,10,5,5,7,6,6,0,0,21,19,40
1604,1,0,8,3,19,23,15,15,7,1,0,3,50,42,92
1607,1,0,2,0,10,11,1,3,2,2,1,0,16,16,32
1610,0,0,1,1,19,14,7,9,5,9,4,2,32,33,65
1619,0,0,0,0,5,7,6,3,2,4,0,0,13,14,27
1632,0,0,0,1,2,19,0,16,1,5,0,2,3,41,44
1635,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
1653,0,0,0,0,5,9,0,5,4,3,0,0,9,17,26
1739,1,0,13,0,78,0,45,0,38,0,3,0,175,0,175
11217,0,0,6,1,6,9,3,7,1,6,0,0,16,23,39
14232,0,1,2,1,14,10,5,6,6,7,0,0,27,25,52
14413,0,0,1,1,6,7,7,8,0,1,0,0,14,17,31
14538,1,0,1,0,13,17,4,8,7,1,1,0,26,26,52
14541,0,0,1,0,16,6,3,2,6,3,0,0,26,11,37
14764,0,0,0,1,2,8,2,4,2,2,0,0,6,15,21
14773,0,0,2,1,4,11,7,6,2,1,0,1,15,19,34
14779,0,0,2,0,2,7,5,6,1,1,0,0,10,14,24
14783,0,0,3,2,17,32,8,15,3,7,0,1,31,56,87
14818,0,0,2,0,7,8,4,8,5,4,0,0,18,20,38
14922,0,0,1,0,4,3,4,7,0,0,2,0,9,10,19
1996,2,0,9,4,25,30,19,22,19,13,2,3,74,69,143
1997,0,0,0,0,11,6,4,9,3,5,0,0,18,20,38
2007,0,0,0,0,7,7,2,4,3,4,0,0,12,15,27
14381,0,0,2,1,4,4,2,4,3,2,0,0,11,11,22
14511,0,0,0,0,6,6,6,8,2,2,1,0,14,16,30
14514,0,0,0,1,18,26,11,7,2,7,1,0,31,41,72
14643,0,2,0,0,6,4,1,9,1,2,0,0,8,17,25
1743,0,0,1,2,15,17,7,10,3,2,0,0,26,31,57
1769,0,0,0,1,7,6,3,8,0,2,0,0,10,17,27
12332,1,0,1,1,16,13,4,9,15,5,1,1,37,28,65
14504,1,0,1,1,6,10,3,4,0,1,0,0,11,16,27
14605,1,1,3,0,17,18,9,9,5,5,0,0,35,33,68
14822,1,0,4,4,23,18,12,11,2,5,2,2,42,38,80
14866,0,0,1,2,20,23,16,6,1,0,1,0,38,31,69
2009,0,0,0,0,3,5,3,1,0,0,0,1,6,6,12
1863,1,1,4,2,20,15,2,12,2,12,0,1,29,42,71
1864,2,0,5,4,26,15,23,17,8,11,2,3,64,47,111
1851,1,0,1,1,19,10,9,8,3,9,1,4,33,28,61
1858,0,0,3,4,20,35,30,25,10,8,0,0,63,72,135
1859,0,1,3,1,12,15,2,4,1,2,2,0,18,23,41
1860,0,0,5,0,26,18,15,12,7,5,2,3,53,35,88
14526,0,0,2,1,26,14,14,10,4,3,0,0,46,28,74
1663,1,0,8,8,57,74,26,40,8,10,6,2,100,132,232
1664,3,0,6,0,46,10,24,7,15,6,8,1,94,23,117
1672,1,0,1,2,33,25,15,19,11,2,4,5,61,48,109
1674,0,1,3,0,22,16,14,8,8,9,1,1,47,34,81
1675,1,0,7,4,31,34,11,15,3,10,8,3,53,63,116
1676,2,1,14,5,55,48,19,40,11,19,1,2,101,113,214
1681,0,1,0,4,0,21,1,11,0,9,0,2,1,46,47
1685,0,0,0,0,6,2,4,1,2,2,0,0,12,5,17
1734,1,0,6,0,49,0,15,0,11,0,1,0,82,0,82
1735,0,0,2,3,30,39,28,19,8,6,1,4,68,67,135
1738,0,3,0,2,0,33,0,14,0,6,0,2,0,58,58
1741,0,0,3,0,16,13,7,6,0,0,1,1,26,19,45
1742,0,0,2,3,7,7,5,1,4,4,0,2,18,15,33
1747,2,0,6,3,21,27,14,26,5,7,0,0,48,63,111
1749,1,0,4,1,11,18,17,13,6,11,3,0,39,43,82
1750,1,0,1,1,13,11,3,5,1,1,1,1,19,18,37
1755,1,0,3,2,19,31,13,15,2,6,0,1,38,54,92
1756,0,2,2,0,13,18,11,5,7,2,2,1,33,27,60
1761,0,0,0,1,11,14,1,6,4,1,1,0,16,22,38
1801,0,0,2,0,14,15,3,14,4,4,0,0,23,33,56
12151,4,2,15,9,90,63,31,45,13,22,0,3,153,141,294
12301,0,0,3,0,6,11,1,3,1,0,0,1,11,14,25
12312,0,0,1,2,8,8,5,5,2,4,1,2,16,19,35
14265,0,0,0,1,3,9,6,6,2,1,0,0,11,17,28
14284,0,0,2,4,21,36,9,30,9,10,0,0,41,80,121
14316,0,0,0,0,4,9,4,4,0,2,0,0,8,15,23
14387,1,0,1,0,14,6,6,6,1,1,1,1,23,13,36
14490,0,0,2,0,14,30,19,13,2,1,1,2,37,44,81
14494,1,0,0,1,6,6,3,6,6,1,1,0,16,14,30
14608,0,0,2,0,23,24,12,7,3,4,2,3,40,35,75
14629,0,0,6,2,26,31,13,21,11,10,0,3,56,64,120
14703,1,0,4,0,22,13,8,13,4,3,2,1,39,29,68
14716,0,0,0,1,10,8,5,2,0,1,0,0,15,12,27
14923,0,0,2,1,8,5,4,3,5,0,0,1,19,9,28
40042,2,0,7,1,21,10,10,8,4,4,1,1,44,23,67
40155,0,0,0,0,16,19,4,5,0,0,0,0,20,24,44
40252,1,0,4,0,22,28,17,16,1,10,1,2,45,54,99
14675,0,0,0,0,0,0,1,3,1,0,0,0,2,3,5
14860,0,0,0,2,4,6,3,10,3,1,0,1,10,19,29
14881,0,0,0,0,9,11,6,4,5,3,1,0,20,18,38
1194,1,0,6,7,84,64,28,41,21,15,1,4,140,127,267
1195,0,0,6,4,38,58,37,39,16,21,2,7,97,122,219
1196,0,1,1,4,7,35,2,29,2,10,2,4,12,79,91
1198,0,0,1,1,3,7,1,5,2,2,2,0,7,15,22
1199,1,0,2,1,18,7,6,5,3,0,2,1,30,13,43
1213,7,1,34,19,117,91,44,47,19,11,3,5,221,169,390
1214,0,2,0,4,0,48,0,26,0,8,0,3,0,88,88
1226,0,0,0,0,1,2,2,0,1,0,0,0,4,2,6
14670,0,0,4,2,27,14,6,5,6,2,0,0,43,23,66
1255,1,0,2,2,28,11,14,6,6,10,1,0,51,29,80
40352,0,0,3,1,14,8,11,4,5,2,1,1,33,15,48
1260,0,1,2,1,9,7,5,11,1,6,0,1,17,26,43
14877,1,0,4,1,18,9,15,8,10,9,0,1,48,27,75
1119,0,0,0,2,0,13,0,15,0,9,0,0,0,39,39
1121,0,0,2,5,28,25,18,24,13,10,2,2,61,64,125
1123,0,0,6,0,12,6,3,8,3,2,1,1,24,16,40
11199,0,0,0,0,12,6,6,5,4,1,3,0,22,12,34
14416,0,0,3,3,18,21,16,16,6,8,0,0,43,48,91
14487,0,0,5,5,10,10,6,7,4,3,1,0,25,25,50
14537,0,0,0,1,16,12,16,14,5,5,2,0,37,32,69
1167,1,0,5,1,29,22,17,22,13,11,3,2,65,56,121
12177,3,0,5,2,19,31,7,14,2,6,0,0,36,53,89
12336,0,1,8,3,37,29,21,23,14,8,2,0,80,64,144
14332,0,0,0,0,3,7,2,6,1,1,0,1,6,14,20
14823,0,0,0,0,4,6,6,2,0,0,0,0,10,8,18
40099,0,0,2,2,17,5,7,3,3,4,0,0,29,14,43
1148,0,0,4,1,12,11,2,7,5,4,1,2,23,23,46
1149,0,0,0,0,3,3,3,2,2,1,1,0,8,6,14
1164,0,0,2,1,13,9,4,4,8,3,1,1,27,17,44
1183,0,1,1,1,18,19,19,13,7,5,1,1,45,39,84
1190,0,0,3,1,9,11,3,3,0,2,0,0,15,17,32
1363,1,0,2,0,27,13,16,12,13,5,0,2,59,30,89
1364,0,0,0,1,7,16,3,5,3,2,1,0,13,24,37
1366,1,0,4,5,18,38,18,28,2,17,2,4,43,88,131
1370,0,0,0,1,15,7,5,2,1,0,5,0,21,10,31
1371,0,0,1,0,4,9,6,8,6,3,0,1,17,20,37
1391,0,0,1,0,8,2,4,3,0,6,0,0,13,11,24
1392,1,2,2,2,18,68,7,16,1,0,1,1,29,88,117
1393,2,1,2,2,9,34,5,6,2,9,0,2,20,52,72
1395,1,0,5,2,14,18,6,11,8,10,0,2,34,41,75
1397,3,0,13,0,96,0,59,0,36,0,2,0,207,0,207
1405,0,1,0,2,8,20,7,13,4,11,0,1,19,47,66
14206,0,0,0,0,8,3,16,4,2,0,4,1,26,7,33
14270,0,0,1,1,7,7,2,5,0,6,0,2,10,19,29
14397,3,2,2,1,10,10,2,2,0,0,0,0,17,15,32
14594,1,0,2,1,7,5,7,5,1,1,0,0,18,12,30
14671,0,0,1,0,13,21,13,8,4,2,0,1,31,31,62
14673,1,0,2,2,12,11,3,6,0,2,0,0,18,21,39
14770,0,0,0,1,5,16,4,10,5,4,0,0,14,31,45
14901,1,0,1,1,13,14,10,8,11,6,2,1,36,29,65
14913,1,0,4,0,4,1,5,6,3,1,0,0,17,8,25
1422,0,0,0,2,6,7,5,6,9,4,2,0,20,19,39
1425,0,1,0,1,6,13,1,9,3,3,1,4,10,27,37
1436,1,0,4,2,21,30,13,21,5,8,1,2,44,61,105
1437,0,1,0,8,0,35,0,17,0,8,0,1,0,69,69
1443,1,0,6,2,85,10,67,6,13,7,4,0,172,25,197
11240,0,0,0,0,12,10,5,11,1,0,0,0,18,21,39
14210,0,0,5,1,28,23,23,22,14,7,1,2,70,53,123
14782,0,0,1,0,4,6,3,7,1,2,0,0,9,15,24
1453,1,1,6,1,15,16,7,11,10,9,0,0,39,38,77
11177,1,0,3,3,15,21,8,7,7,4,1,0,34,35,69
1414,1,0,0,2,8,10,5,3,4,0,1,0,18,15,33
1421,2,0,2,1,5,10,4,3,3,1,1,0,16,15,31
14868,0,0,1,0,6,5,9,8,8,5,0,1,24,18,42
1444,0,0,0,0,10,4,6,5,9,5,1,0,25,14,39
1445,2,0,2,3,8,6,4,7,0,4,1,0,16,20,36
1449,2,0,5,3,38,17,13,18,9,6,2,2,67,44,111
1450,1,0,4,3,15,19,4,9,2,3,1,3,26,34,60
14215,0,0,2,0,7,4,3,6,3,2,0,0,15,12,27
40305,0,0,0,0,6,5,14,10,5,3,1,0,25,18,43
2012,0,0,0,1,12,8,9,10,5,6,1,0,26,25,51
2013,4,0,0,4,26,47,40,46,23,25,0,5,93,122,215
2018,0,0,1,1,10,18,14,6,8,4,2,1,33,29,62
2019,1,0,1,0,10,7,5,6,5,3,0,0,22,16,38
2035,0,0,1,0,3,2,0,0,2,0,2,0,6,2,8
2040,0,0,2,0,13,12,10,13,6,8,0,1,31,33,64
2041,0,0,0,1,0,21,0,10,0,3,0,1,0,35,35
2042,0,0,5,1,17,29,19,8,9,2,1,0,50,40,90
2043,1,0,3,1,11,8,7,4,4,6,0,1,26,19,45
2044,0,2,9,1,81,12,42,7,36,12,6,1,168,34,202
2045,0,0,0,1,9,11,6,12,0,3,0,0,15,27,42
2047,0,0,0,0,0,21,0,11,0,3,0,1,0,35,35
2048,0,1,0,0,0,2,0,6,0,11,0,0,0,20,20
2049,0,1,2,1,14,7,4,8,4,5,3,0,24,22,46
2050,0,0,1,0,7,7,5,6,3,5,0,0,16,18,34
2052,0,0,2,1,6,9,0,9,2,2,1,0,10,21,31
2055,1,0,2,1,6,8,10,10,3,3,2,1,22,22,44
2057,1,0,0,0,4,2,2,2,2,2,0,0,9,6,15
14288,0,0,0,0,13,8,3,12,4,2,0,0,20,22,42
14348,0,0,2,1,20,17,7,15,9,7,0,0,38,40,78
14373,0,0,1,0,8,11,9,6,2,2,1,0,20,19,39
14568,1,0,0,2,8,7,5,5,3,4,0,0,17,18,35
14626,0,1,2,0,4,1,5,5,5,2,0,1,16,9,25
14699,1,1,4,0,6,10,5,7,5,2,1,0,21,20,41
14788,0,0,1,1,8,5,2,6,7,1,1,0,18,13,31
40289,0,0,1,2,21,26,11,4,2,3,1,0,35,35,70
2090,1,0,7,1,12,12,4,3,1,5,1,0,25,21,46
14400,0,0,0,0,21,13,19,21,7,11,0,1,47,45,92
40370,0,1,0,1,9,10,3,2,8,1,0,0,20,15,35
2064,0,0,3,1,31,30,22,32,13,10,1,2,69,73,142
2066,1,1,1,0,6,4,7,5,2,2,0,0,17,12,29
14523,0,0,6,3,25,22,9,16,4,6,2,4,44,47,91
14825,1,0,0,1,2,6,8,7,4,7,0,4,15,21,36
14953,0,0,4,0,4,8,4,2,5,3,0,0,17,13,30
2078,0,0,1,1,15,13,12,11,6,1,0,3,34,26,60
14420,0,0,0,0,6,8,6,2,0,1,0,0,12,11,23
2075,1,0,3,1,19,9,13,9,6,2,1,0,42,21,63
2091,1,0,3,0,21,9,11,23,12,3,2,0,48,35,83
2099,0,0,2,2,7,11,4,6,3,4,2,1,16,23,39
13205,1,0,2,2,3,6,4,4,0,2,0,0,10,14,24
14751,1,0,1,1,3,7,2,4,4,1,1,0,11,13,24
1261,0,0,5,1,14,11,11,9,11,9,2,2,41,30,71
1262,1,0,29,0,124,13,59,8,59,5,7,0,272,26,298
1263,0,0,0,1,0,31,0,28,0,20,0,6,0,80,80
1264,1,0,1,1,5,5,3,3,1,3,1,1,11,12,23
1289,0,0,1,0,12,3,6,8,5,3,1,0,24,14,38
1290,0,0,0,4,0,24,0,16,0,5,0,4,0,49,49
1291,1,0,1,3,9,6,4,7,1,3,1,0,16,19,35
1294,0,0,0,2,16,27,7,13,8,2,1,1,31,44,75
1300,0,0,3,2,38,54,17,22,10,7,2,0,68,85,153
11214,0,0,2,0,17,29,4,12,6,7,0,1,29,48,77
12309,0,0,2,1,9,10,10,5,4,0,0,0,25,16,41
14614,0,0,0,2,8,13,13,13,5,1,0,1,26,29,55
14697,0,0,2,0,16,23,8,19,8,10,1,1,34,52,86
14707,0,1,2,0,24,16,3,5,5,2,0,2,34,24,58
14750,0,0,2,0,7,9,2,2,3,1,0,1,14,12,26
14856,0,0,3,2,20,27,14,11,5,1,2,0,42,41,83
14879,1,0,12,1,40,40,27,29,12,12,5,2,92,82,174
1354,3,2,2,3,41,26,20,13,10,8,1,1,76,52,128
1361,0,2,2,1,7,10,3,5,3,0,0,0,15,18,33
1362,1,1,2,2,20,10,13,10,7,4,0,2,43,27,70
1335,1,0,8,3,36,38,27,22,10,11,1,2,82,74,156
1347,0,0,2,0,27,30,15,15,8,7,6,5,52,52,104
14565,0,0,1,1,6,7,3,11,3,4,0,1,13,23,36
14885,0,0,0,0,8,5,1,3,1,0,1,0,10,8,18
14202,0,0,5,1,14,11,7,7,6,3,0,1,32,22,54
1301,0,0,1,2,12,10,4,9,3,8,3,0,20,29,49
1302,0,0,1,0,4,3,3,2,1,0,0,0,9,5,14
14819,0,0,1,0,3,5,5,7,1,1,0,1,10,13,23
1318,0,0,0,0,10,8,3,2,4,3,0,0,17,13,30
1327,1,0,4,2,4,14,3,13,4,8,2,1,16,37,53
14820,0,0,0,0,10,6,4,2,2,2,3,0,16,10,26
1757,1,1,14,7,48,58,34,42,7,13,3,2,104,121,225
1880,0,0,0,1,12,6,18,6,5,0,0,1,35,13,48
1882,0,0,3,4,23,30,15,11,8,9,2,3,49,54,103
1884,3,0,5,5,36,45,18,23,9,9,3,3,71,82,153
1887,0,0,2,0,22,18,7,12,4,4,1,0,35,34,69
1895,0,0,2,0,8,1,17,7,13,4,5,0,40,12,52
1908,0,1,1,2,9,8,3,4,3,3,0,1,16,18,34
1909,1,0,5,4,31,27,16,18,6,3,1,0,59,52,111
1911,0,1,3,0,9,9,2,5,4,2,0,0,18,17,35
1918,1,0,2,1,10,18,8,10,4,1,1,1,25,30,55
1919,0,1,3,1,9,8,5,8,2,2,0,1,19,20,39
1923,0,1,7,5,25,28,20,21,11,8,3,2,63,63,126
1934,0,0,3,1,28,44,14,27,7,4,1,2,52,76,128
1941,1,0,2,4,31,22,11,9,2,3,0,0,47,38,85
14233,0,0,1,0,4,12,2,5,3,2,0,0,10,19,29
14237,0,1,0,0,1,6,4,3,4,3,0,0,9,13,22
14299,0,0,1,1,7,6,11,7,5,7,2,0,24,21,45
14314,0,0,4,0,7,7,4,2,1,2,0,0,16,11,27
14336,1,1,0,1,2,6,5,11,1,3,2,1,9,22,31
14359,1,0,3,4,33,36,16,27,12,5,0,0,65,72,137
14365,3,0,0,2,15,8,5,7,5,3,0,1,28,20,48
14418,0,0,0,0,4,7,10,5,1,4,0,0,15,16,31
14470,0,1,5,1,14,25,6,19,8,8,1,4,33,54,87
14527,0,0,0,0,7,19,9,7,0,1,1,2,16,27,43
14552,0,0,1,0,21,14,2,1,0,0,1,0,24,15,39
14599,1,0,1,2,8,7,2,4,5,4,0,0,17,17,34
14642,1,1,1,1,10,9,5,7,5,2,1,1,22,20,42
14659,1,0,0,1,1,4,2,3,0,0,0,0,4,8,12
14677,1,0,1,1,8,10,8,2,5,0,0,0,23,13,36
14687,0,0,1,0,14,5,9,3,2,2,0,0,26,10,36
14717,0,0,1,1,11,13,3,3,2,2,0,0,17,19,36
14720,0,0,1,2,29,33,11,24,13,13,0,2,54,72,126
14771,0,0,1,4,6,11,3,2,0,0,0,0,10,17,27
14775,0,0,1,0,13,7,4,2,1,1,1,0,19,10,29
14790,0,0,1,1,31,26,4,7,8,5,0,1,44,39,83
31445,0,2,1,2,17,15,7,8,3,3,0,0,28,30,58
40027,0,0,3,2,6,12,3,9,0,0,0,0,12,23,35
1464,0,1,4,2,51,45,26,25,21,19,4,1,102,92,194
1467,0,0,2,1,15,23,5,8,2,8,0,0,24,40,64
1478,0,0,2,1,5,19,6,6,2,1,1,0,15,27,42
1482,1,0,3,2,18,30,10,9,6,2,0,2,38,43,81
11241,0,0,3,1,16,13,7,9,4,2,0,0,30,25,55
14510,0,0,0,4,11,15,6,5,0,0,0,1,17,24,41
14534,0,0,1,1,11,9,7,4,3,0,1,3,22,14,36
14641,3,0,2,1,9,12,2,4,0,4,0,1,16,21,37
14865,0,0,0,1,3,10,2,5,1,2,0,2,6,18,24
1489,0,0,6,1,14,10,9,7,7,7,1,1,36,25,61
1490,0,0,1,0,5,3,0,3,2,1,0,0,8,7,15
1500,0,1,3,1,16,19,8,11,6,5,0,1,33,37,70
1958,0,0,1,0,15,19,12,11,10,3,4,1,38,33,71
1959,0,0,1,1,12,10,4,8,1,3,0,0,18,22,40
1967,3,1,3,0,28,28,20,22,8,10,0,2,62,61,123
1969,1,0,4,2,15,18,11,6,8,7,0,0,39,33,72
1971,0,0,1,3,7,6,5,5,3,5,1,0,16,19,35
1977,0,0,5,0,31,39,19,27,8,17,2,0,63,83,146
1980,0,0,0,1,11,9,6,7,4,4,0,1,21,21,42
1987,0,0,0,1,2,0,2,10,4,0,0,0,8,11,19
